review_id,user_id,product_id,rating,review_text,review_date,verified_purchase,helpful_votes,review_length,sentiment_score,is_fake
26,6516,1017,5,Works perfectly and looks great,07-12-2022,0,169,31,0.067,0
27,4782,1078,3,Decent product,09-01-2022,1,51,14,-0.295,0
28,3215,143,3,Average experience,16-07-2024,0,126,18,-0.432,0
29,4907,1108,3,Average experience,17-10-2023,1,70,18,0.24,0
30,6635,399,4,Excellent quality and fast delivery,23-02-2022,0,17,35,0.845,0
31,390,375,1,Not as described,29-06-2023,0,90,16,0.657,0
32,5607,916,2,Not as described,10-09-2022,0,171,16,0.789,0
33,3213,589,5,Excellent quality and fast delivery,20-03-2024,0,176,35,0.628,0
34,6638,1066,1,Very disappointed with the quality,06-06-2024,1,83,34,-0.808,0
35,3973,402,3,Average experience,02-03-2022,1,183,18,-0.352,0
36,7049,704,1,Very disappointed with the quality,26-03-2022,0,33,34,0.142,0
37,3622,21,5,Excellent quality and fast delivery,22-12-2023,0,167,35,-0.438,0
38,5524,165,5,Excellent quality and fast delivery,04-03-2024,0,127,35,0.355,0
39,4086,250,4,Works perfectly and looks great,31-07-2022,1,110,31,-0.685,0
40,7012,487,1,Very disappointed with the quality,01-05-2024,0,198,34,0.136,0
41,3846,1171,5,Amazing product and good value,05-11-2023,0,48,30,-0.229,0
42,2811,1133,4,Works perfectly and looks great,09-11-2022,1,165,31,-0.93,0
43,902,811,4,Very satisfied with this purchase,26-09-2023,0,197,33,0.434,0
44,2557,368,3,Nothing special but acceptable,22-10-2022,1,26,30,-0.649,0
45,6882,1063,4,Works perfectly and looks great,20-06-2023,0,96,31,-0.755,0
46,6233,492,2,Very disappointed with the quality,27-04-2023,1,104,34,-0.694,0
47,2306,226,5,Amazing product and good value,20-09-2024,0,53,30,-0.737,0
48,6294,46,4,Excellent quality and fast delivery,18-03-2022,0,126,35,0.131,0
49,2342,255,3,Decent product,14-07-2023,1,35,14,0.683,0
50,1654,877,1,Very disappointed with the quality,07-08-2022,0,125,34,-0.562,0
51,382,328,1,Very disappointed with the quality,01-06-2023,0,56,34,0.559,0
52,4419,1180,4,"Great product, highly recommend",25-02-2024,0,104,31,-0.303,0
53,114,741,1,"Terrible product, do not buy",06-02-2022,1,155,28,0.746,0
54,6931,94,1,Stopped working after few days,05-10-2022,0,41,30,0.611,0
55,2135,445,4,Very satisfied with this purchase,28-06-2022,1,73,33,0.283,0
56,3248,123,5,Very satisfied with this purchase,28-02-2022,1,189,33,-0.325,0
57,5076,1143,5,"Great product, highly recommend",06-09-2023,1,48,31,0.169,0
58,146,705,3,Average experience,08-06-2023,0,65,18,-0.435,0
59,6079,532,1,Stopped working after few days,09-03-2022,1,34,30,-0.856,0
60,7892,383,1,Stopped working after few days,19-07-2022,0,80,30,0.147,0
61,1763,1134,4,"Great product, highly recommend",10-06-2022,1,26,31,0.705,0
62,337,947,2,Very disappointed with the quality,08-11-2023,0,87,34,-0.003,0
63,2827,411,3,Decent product,02-07-2022,0,151,14,0.832,0
64,4874,142,1,Not as described,15-04-2024,1,100,16,-0.178,0
65,3525,685,4,Very satisfied with this purchase,10-08-2024,0,133,33,-0.224,0
66,1077,480,3,Does the job,28-06-2023,1,157,12,-0.843,0
67,5601,331,1,"Terrible product, do not buy",12-05-2023,0,6,28,0.737,0
68,4230,20,5,Amazing product and good value,10-10-2022,1,165,30,0.464,0
69,1353,943,5,Excellent quality and fast delivery,08-01-2024,1,0,35,-0.636,0
70,629,1158,5,"Great product, highly recommend",01-04-2023,0,83,31,-0.108,0
71,3494,1116,1,Not as described,16-08-2022,0,46,16,0.796,0
72,6866,175,3,Product is okay,04-08-2024,0,60,15,-0.724,0
73,2942,436,4,Amazing product and good value,16-12-2022,0,105,30,-0.114,0
74,6105,307,3,Product is okay,02-10-2023,0,120,15,-0.323,0
75,6635,773,2,"Terrible product, do not buy",05-02-2023,0,93,28,0.964,0
76,5446,154,2,"Terrible product, do not buy",12-01-2023,0,56,28,0.169,0
77,2627,388,5,Very satisfied with this purchase,22-02-2023,0,49,33,-0.444,0
78,7701,582,4,Amazing product and good value,03-04-2023,1,64,30,0.987,0
79,4063,416,5,Works perfectly and looks great,03-09-2023,1,102,31,-0.742,0
80,3587,1025,1,Stopped working after few days,18-02-2024,0,148,30,-0.722,0
81,1895,742,2,Very disappointed with the quality,26-09-2023,0,191,34,-0.366,0
82,1538,493,1,"Terrible product, do not buy",15-06-2022,1,17,28,0.909,0
83,6008,884,1,Waste of money,28-03-2024,1,174,14,0.064,0
84,5695,1090,4,Excellent quality and fast delivery,24-09-2022,1,69,35,0.248,0
85,2548,748,5,Excellent quality and fast delivery,27-09-2024,0,10,35,-0.823,0
86,5747,263,5,Works perfectly and looks great,10-05-2022,0,23,31,0.273,0
87,6065,424,4,Very satisfied with this purchase,05-06-2023,1,170,33,0.007,0
88,1620,558,5,"Great product, highly recommend",12-08-2023,0,154,31,0.69,0
89,2437,31,3,Does the job,11-11-2023,0,156,12,0.824,0
90,6718,27,1,Stopped working after few days,03-03-2023,0,140,30,-0.59,0
91,359,1094,5,Very satisfied with this purchase,11-07-2024,0,71,33,-0.965,0
92,898,121,1,Not as described,31-08-2024,1,161,16,0.33,0
93,3031,564,3,Does the job,08-06-2022,0,2,12,-0.993,0
94,1092,1011,3,Decent product,16-03-2022,1,56,14,-0.935,0
95,3819,948,1,Waste of money,14-05-2024,1,14,14,0.258,0
96,6994,1085,3,Does the job,29-04-2024,1,183,12,0.096,0
97,3949,782,5,Excellent quality and fast delivery,23-03-2023,0,127,35,0.979,0
98,3045,931,1,Waste of money,14-03-2022,0,77,14,0.905,0
99,1570,105,1,Stopped working after few days,06-04-2023,0,94,30,-0.504,0
100,5920,975,1,Waste of money,27-12-2022,1,132,14,-0.835,0
101,150,63,3,Average experience,30-07-2023,1,155,18,0.035,0
102,6226,681,4,Amazing product and good value,17-04-2024,0,120,30,-0.24,0
103,4784,1007,4,Very satisfied with this purchase,31-07-2023,0,52,33,0.934,0
104,6111,1081,2,Very disappointed with the quality,06-06-2024,1,56,34,0.673,0
105,2069,174,5,Excellent quality and fast delivery,23-06-2024,1,115,35,-0.258,0
106,696,393,3,Product is okay,17-11-2022,1,42,15,-0.443,0
107,2948,368,4,Amazing product and good value,27-11-2023,0,53,30,0.8,0
108,936,599,1,Not as described,01-05-2023,0,104,16,0.859,0
109,170,556,2,Waste of money,28-05-2023,1,1,14,-0.128,0
110,4130,1156,3,Product is okay,10-06-2023,1,27,15,0.825,0
111,681,999,5,Excellent quality and fast delivery,06-06-2024,0,4,35,-0.487,0
112,2006,159,3,Nothing special but acceptable,02-01-2022,0,10,30,0.313,0
113,1510,166,3,Does the job,25-08-2023,1,78,12,-0.207,0
114,5223,597,1,"Terrible product, do not buy",28-04-2022,1,49,28,-0.393,0
115,278,45,4,Very satisfied with this purchase,20-09-2023,0,1,33,0.675,0
116,3421,251,2,Very disappointed with the quality,03-03-2023,0,28,34,-0.289,0
117,5356,568,3,Average experience,01-02-2024,0,127,18,0.67,0
118,6593,395,2,Waste of money,14-02-2023,1,50,14,-0.912,0
119,7751,201,5,Works perfectly and looks great,31-03-2023,0,10,31,-0.267,0
120,4723,445,4,"Great product, highly recommend",04-06-2022,0,174,31,-0.532,0
121,7313,167,2,"Terrible product, do not buy",30-03-2022,0,151,28,0.528,0
122,7117,851,5,Excellent quality and fast delivery,26-08-2024,0,177,35,-0.824,0
123,7060,496,2,Very disappointed with the quality,15-12-2023,0,152,34,0.462,0
124,1169,378,3,Does the job,23-09-2023,0,82,12,-0.644,0
125,3049,1071,5,Works perfectly and looks great,23-11-2022,1,79,31,0.526,0
126,3723,231,4,Amazing product and good value,09-02-2023,0,1,30,-0.727,0
127,3253,247,2,Very disappointed with the quality,24-05-2024,1,122,34,-0.726,0
128,3092,377,3,Product is okay,09-10-2023,1,72,15,0.822,0
129,7691,35,1,Stopped working after few days,17-07-2024,1,131,30,0.544,0
130,7146,143,4,Very satisfied with this purchase,09-01-2022,1,42,33,-0.312,0
131,7688,649,2,Not as described,21-10-2022,1,183,16,-0.734,0
132,926,151,4,Amazing product and good value,24-08-2023,1,19,30,0.38,0
133,1033,870,3,Nothing special but acceptable,25-08-2024,0,52,30,0.884,0
134,4224,767,3,Product is okay,19-03-2023,0,96,15,-0.436,0
135,7746,628,5,Amazing product and good value,14-11-2023,0,160,30,0.916,0
136,3537,657,2,Stopped working after few days,08-09-2022,0,137,30,-0.73,0
137,6830,972,4,Amazing product and good value,10-06-2023,1,138,30,-0.729,0
138,426,580,5,Very satisfied with this purchase,14-01-2022,0,113,33,-0.311,0
139,1987,713,2,Stopped working after few days,28-01-2024,0,130,30,0.871,0
140,3675,681,3,Product is okay,11-08-2023,1,119,15,-0.962,0
141,7616,396,4,Amazing product and good value,22-03-2024,0,58,30,0.25,0
142,7071,1081,4,Works perfectly and looks great,13-02-2022,1,124,31,0.027,0
143,5356,865,2,Waste of money,14-01-2023,0,174,14,-0.49,0
144,7936,441,5,Excellent quality and fast delivery,20-05-2024,0,48,35,-0.669,0
145,3061,1116,4,Very satisfied with this purchase,20-06-2024,0,175,33,0.767,0
146,1341,1087,1,Waste of money,31-01-2024,0,31,14,-0.528,0
147,2953,481,3,Decent product,05-06-2024,1,95,14,0.782,0
148,4902,603,2,Very disappointed with the quality,20-09-2024,0,165,34,0.457,0
149,3630,965,4,Amazing product and good value,12-08-2022,1,177,30,-0.527,0
150,3852,1127,3,Does the job,30-06-2022,0,57,12,0.476,0
151,718,467,2,Very disappointed with the quality,03-06-2022,0,188,34,-0.547,0
152,7969,211,2,"Terrible product, do not buy",24-08-2023,1,195,28,-0.981,0
153,3615,640,2,Not as described,31-10-2022,1,30,16,0.86,0
154,6184,555,3,Product is okay,03-01-2024,0,143,15,0.618,0
155,4781,723,1,"Terrible product, do not buy",12-07-2024,1,10,28,0.979,0
156,2383,728,4,Works perfectly and looks great,16-06-2022,1,126,31,0.456,0
157,6450,147,5,Works perfectly and looks great,02-08-2024,1,16,31,0.219,0
158,7926,425,5,Excellent quality and fast delivery,11-06-2022,0,82,35,0.761,0
159,6334,137,2,"Terrible product, do not buy",21-09-2024,1,23,28,-0.273,0
160,7832,514,3,Decent product,01-09-2023,0,141,14,-0.356,0
161,2249,590,4,Amazing product and good value,17-10-2023,1,135,30,0.388,0
162,3219,538,3,Nothing special but acceptable,11-11-2023,0,152,30,-0.538,0
163,3461,85,3,Product is okay,07-05-2024,1,191,15,0.482,0
164,6548,851,3,Does the job,13-09-2024,1,148,12,0.248,0
165,176,65,1,Stopped working after few days,11-07-2023,0,108,30,-0.074,0
166,631,428,3,Does the job,13-06-2023,1,117,12,-0.093,0
167,478,160,1,Stopped working after few days,11-07-2024,0,190,30,0.81,0
168,409,206,5,"Great product, highly recommend",01-11-2023,0,127,31,0.125,0
169,7930,839,5,Works perfectly and looks great,17-06-2023,0,62,31,-0.185,0
170,1908,439,1,"Terrible product, do not buy",24-12-2023,1,50,28,-0.245,0
171,5985,1159,1,Not as described,22-03-2022,0,45,16,-0.965,0
172,7640,312,1,Not as described,05-11-2022,0,106,16,-0.125,0
173,1878,544,1,"Terrible product, do not buy",26-03-2023,1,135,28,-0.426,0
174,974,1186,4,Works perfectly and looks great,28-01-2024,0,190,31,-0.325,0
175,7288,454,1,Waste of money,01-07-2022,0,27,14,0.259,0
176,499,1044,1,Waste of money,30-09-2023,0,25,14,-0.015,0
177,6295,999,2,Stopped working after few days,31-05-2024,1,114,30,0.98,0
178,619,525,5,"Great product, highly recommend",06-10-2023,0,16,31,0.725,0
179,669,897,4,Amazing product and good value,03-03-2022,0,77,30,-0.143,0
180,2162,152,5,Excellent quality and fast delivery,06-05-2023,1,150,35,-0.165,0
181,2855,903,1,Not as described,16-08-2024,0,88,16,0.108,0
182,5022,912,5,"Great product, highly recommend",07-12-2022,0,53,31,0.984,0
183,5386,113,5,Very satisfied with this purchase,11-01-2023,0,167,33,-0.36,0
184,3982,882,4,Works perfectly and looks great,08-06-2024,1,45,31,0.277,0
185,968,827,3,Average experience,04-09-2023,1,3,18,-0.817,0
186,5964,1163,2,Very disappointed with the quality,14-04-2022,0,165,34,-0.725,0
187,2613,1170,2,Stopped working after few days,09-08-2024,0,102,30,-0.854,0
188,7546,780,1,Very disappointed with the quality,16-08-2022,0,39,34,-0.721,0
189,2394,341,1,"Terrible product, do not buy",09-12-2022,0,108,28,0.617,0
190,3183,94,2,"Terrible product, do not buy",24-12-2023,1,132,28,-0.842,0
191,195,244,2,Waste of money,23-11-2022,0,196,14,0.52,0
192,7192,953,5,"Great product, highly recommend",25-04-2023,0,27,31,-0.204,0
193,3579,1012,4,Very satisfied with this purchase,16-12-2023,0,106,33,-0.19,0
194,3106,1060,3,Product is okay,22-02-2022,0,104,15,0.405,0
195,5419,350,2,Stopped working after few days,07-11-2023,1,30,30,0.49,0
196,4253,355,1,Stopped working after few days,24-01-2024,1,116,30,-0.593,0
197,3896,1110,5,Works perfectly and looks great,17-06-2022,0,109,31,0.161,0
198,5341,40,5,"Great product, highly recommend",27-02-2022,1,162,31,-0.987,0
199,4505,236,2,Not as described,29-08-2022,0,28,16,0.975,0
200,2958,45,5,Very satisfied with this purchase,10-09-2024,0,116,33,-0.039,0
201,5765,1008,5,Works perfectly and looks great,18-08-2023,0,193,31,-0.001,0
202,1755,799,2,Very disappointed with the quality,03-07-2022,1,155,34,-0.85,0
203,5537,406,1,Stopped working after few days,25-06-2024,1,25,30,-0.14,0
204,5087,57,4,"Great product, highly recommend",27-10-2023,0,82,31,0.159,0
205,4818,354,2,Not as described,03-02-2024,1,151,16,-0.425,0
206,5954,721,5,"Great product, highly recommend",15-06-2024,0,108,31,0.98,0
207,4793,215,3,Product is okay,13-09-2023,1,3,15,0.093,0
208,7822,845,2,Very disappointed with the quality,28-01-2022,1,65,34,0.304,0
209,4187,1193,4,Works perfectly and looks great,25-12-2023,0,4,31,-0.715,0
210,2039,1130,5,"Great product, highly recommend",10-01-2023,0,81,31,0.774,0
211,5389,75,4,Very satisfied with this purchase,07-02-2024,0,172,33,-0.311,0
212,1018,885,3,Product is okay,22-09-2022,1,40,15,0.746,0
213,6212,962,1,Waste of money,17-05-2022,0,17,14,-0.482,0
214,5908,159,1,Very disappointed with the quality,03-01-2024,0,16,34,0.157,0
215,5012,223,4,Amazing product and good value,15-05-2022,1,81,30,0.078,0
216,465,1091,3,Average experience,15-10-2023,0,4,18,-0.893,0
217,3934,431,3,Average experience,10-03-2022,1,43,18,-0.49,0
218,2311,121,5,Very satisfied with this purchase,13-06-2023,1,49,33,0.482,0
219,356,1074,1,Very disappointed with the quality,15-07-2024,1,73,34,-0.312,0
220,5379,403,2,"Terrible product, do not buy",24-04-2024,1,161,28,0.544,0
221,1295,10,5,Amazing product and good value,24-06-2024,1,68,30,0.372,0
222,6574,530,5,Very satisfied with this purchase,12-10-2023,1,36,33,0.373,0
223,1501,363,5,Very satisfied with this purchase,26-07-2023,0,87,33,0.742,0
224,6813,790,4,Excellent quality and fast delivery,10-04-2023,1,137,35,0.808,0
225,1778,98,1,"Terrible product, do not buy",22-02-2023,0,47,28,0.928,0
226,3338,1041,5,Very satisfied with this purchase,06-07-2022,0,197,33,0.334,0
227,807,266,1,"Terrible product, do not buy",10-10-2023,1,50,28,0.771,0
228,4467,1148,3,Nothing special but acceptable,05-03-2023,1,18,30,0.855,0
229,6715,837,5,Amazing product and good value,30-11-2022,1,42,30,-0.779,0
230,4045,1027,4,"Great product, highly recommend",24-07-2024,0,198,31,0.01,0
231,6522,752,3,Nothing special but acceptable,26-03-2023,1,136,30,0.369,0
232,856,229,3,Product is okay,15-07-2024,0,31,15,0.445,0
233,7078,384,3,Nothing special but acceptable,05-04-2022,1,57,30,0.745,0
234,4269,301,5,Works perfectly and looks great,04-09-2022,1,72,31,-0.601,0
235,2784,250,2,Very disappointed with the quality,01-12-2022,1,88,34,-0.957,0
236,4429,195,4,Excellent quality and fast delivery,29-12-2022,1,139,35,0.541,0
237,4151,950,2,Waste of money,30-08-2023,0,125,14,-0.221,0
238,1212,866,2,"Terrible product, do not buy",11-04-2023,0,29,28,0.729,0
239,5637,735,4,Amazing product and good value,23-03-2024,0,35,30,0.77,0
240,4539,569,5,Excellent quality and fast delivery,14-02-2022,0,192,35,0.131,0
241,5537,8,1,"Terrible product, do not buy",22-01-2024,1,28,28,0.716,0
242,7152,842,3,Average experience,10-04-2022,0,200,18,0.407,0
243,1651,456,5,Amazing product and good value,15-02-2023,0,121,30,0.55,0
244,1609,957,2,Waste of money,16-05-2022,1,172,14,0.625,0
245,4570,983,4,Very satisfied with this purchase,27-03-2024,0,183,33,-0.909,0
246,770,280,5,Works perfectly and looks great,14-11-2023,1,106,31,0.119,0
247,2185,757,3,Nothing special but acceptable,16-12-2022,0,165,30,-0.765,0
248,7489,625,2,Waste of money,20-05-2023,0,172,14,-0.493,0
249,6482,331,2,Waste of money,12-06-2024,0,0,14,0.062,0
250,2656,484,3,Average experience,06-11-2022,0,76,18,-0.013,0
251,3983,134,2,Stopped working after few days,21-11-2023,0,196,30,-0.225,0
252,3870,555,2,Waste of money,21-04-2024,1,145,14,0.222,0
253,3394,568,3,Does the job,15-07-2023,0,87,12,-0.358,0
254,4065,260,1,Very disappointed with the quality,26-10-2022,0,156,34,-0.853,0
255,6901,565,3,Average experience,28-08-2024,0,140,18,-0.842,0
256,4846,385,4,Excellent quality and fast delivery,17-03-2022,1,104,35,-0.345,0
257,220,303,3,Product is okay,05-08-2024,0,165,15,-0.906,0
258,3709,425,1,"Terrible product, do not buy",26-08-2022,1,180,28,0.018,0
259,4150,360,3,Nothing special but acceptable,05-05-2023,0,191,30,0.819,0
260,5827,751,4,Works perfectly and looks great,15-06-2022,0,135,31,-0.512,0
261,6196,933,2,Not as described,27-09-2024,1,75,16,0.409,0
262,5928,188,3,Decent product,24-02-2024,1,18,14,0.981,0
263,2749,593,5,Excellent quality and fast delivery,22-01-2023,1,41,35,-0.667,0
264,5515,829,4,"Great product, highly recommend",05-04-2022,0,73,31,0.076,0
265,5985,569,4,Works perfectly and looks great,30-12-2022,0,26,31,0.365,0
266,6305,978,1,"Terrible product, do not buy",05-05-2023,0,109,28,0.069,0
267,3830,315,3,Average experience,19-11-2023,0,199,18,0.242,0
268,3819,338,3,Average experience,02-02-2024,1,161,18,-0.895,0
269,1030,1068,1,"Terrible product, do not buy",16-08-2023,1,64,28,-0.572,0
270,2700,67,4,Excellent quality and fast delivery,26-08-2024,1,22,35,-0.703,0
271,1250,565,4,"Great product, highly recommend",30-11-2023,0,41,31,0.013,0
272,306,971,4,Very satisfied with this purchase,03-11-2023,1,0,33,-0.119,0
273,7062,1189,2,Stopped working after few days,08-06-2023,1,190,30,0.926,0
274,5344,963,2,Very disappointed with the quality,09-06-2023,1,176,34,-0.528,0
275,7092,821,2,"Terrible product, do not buy",17-09-2024,1,76,28,-0.412,0
276,4492,653,3,Decent product,30-05-2022,1,111,14,-0.23,0
277,1800,438,1,Waste of money,22-06-2022,0,39,14,-0.321,0
278,2936,409,4,Excellent quality and fast delivery,21-04-2022,0,57,35,-0.939,0
279,2770,1045,1,Stopped working after few days,13-12-2022,0,51,30,-0.291,0
280,4062,478,2,Very disappointed with the quality,27-12-2022,1,91,34,0.643,0
281,6778,1063,3,Average experience,07-08-2024,0,93,18,-0.394,0
282,7493,870,1,Very disappointed with the quality,08-02-2024,1,98,34,-0.161,0
283,5186,1057,4,Excellent quality and fast delivery,28-03-2022,0,153,35,0.662,0
284,6366,174,5,Very satisfied with this purchase,04-01-2024,0,154,33,-0.823,0
285,7673,633,1,Waste of money,13-02-2024,1,90,14,-0.959,0
286,413,300,1,Very disappointed with the quality,14-07-2022,1,18,34,0.815,0
287,7954,443,5,Amazing product and good value,20-09-2022,1,43,30,0.052,0
288,3922,1061,2,"Terrible product, do not buy",25-03-2024,1,54,28,-0.873,0
289,5093,834,5,"Great product, highly recommend",06-03-2022,0,116,31,-0.558,0
290,6553,497,2,Not as described,08-05-2024,0,113,16,0.567,0
291,7561,367,5,Works perfectly and looks great,03-09-2023,0,92,31,-0.634,0
292,6838,910,3,Decent product,02-03-2024,1,49,14,-0.441,0
293,2316,151,3,Average experience,07-09-2023,1,18,18,0.704,0
294,5115,582,3,Nothing special but acceptable,29-02-2024,0,93,30,-0.564,0
295,2434,738,1,Waste of money,30-12-2022,0,55,14,-0.215,0
296,2639,150,2,Waste of money,10-09-2023,1,14,14,0.118,0
297,2090,1003,4,Excellent quality and fast delivery,22-06-2024,1,26,35,0.549,0
298,2364,884,5,"Great product, highly recommend",19-06-2024,1,182,31,-0.481,0
299,5571,367,2,Stopped working after few days,05-11-2023,0,186,30,0.168,0
300,7202,530,2,Waste of money,03-09-2024,0,129,14,-0.894,0
301,2728,873,4,Works perfectly and looks great,16-07-2022,1,47,31,0.723,0
302,2022,283,2,Stopped working after few days,24-03-2023,1,44,30,0.159,0
303,4426,1136,5,Amazing product and good value,08-03-2023,0,87,30,0.331,0
304,869,1191,4,Works perfectly and looks great,26-11-2022,1,116,31,0.505,0
305,4642,616,5,Very satisfied with this purchase,26-07-2024,0,43,33,-0.956,0
306,1846,82,1,Stopped working after few days,27-02-2023,1,102,30,-0.543,0
307,3043,306,2,Very disappointed with the quality,12-09-2023,0,103,34,-0.412,0
308,1816,621,1,Not as described,23-06-2023,1,115,16,0.232,0
309,4871,1179,4,"Great product, highly recommend",14-04-2023,1,65,31,0.27,0
310,2036,522,5,"Great product, highly recommend",27-12-2023,0,85,31,0.76,0
311,6384,523,5,Works perfectly and looks great,16-08-2023,1,158,31,0.574,0
312,4650,86,2,Waste of money,30-06-2022,0,5,14,0.811,0
313,6557,863,5,Works perfectly and looks great,24-01-2023,0,140,31,-0.469,0
314,3730,958,2,Very disappointed with the quality,16-11-2022,0,113,34,-0.773,0
315,5131,168,4,"Great product, highly recommend",26-10-2022,1,147,31,0.057,0
316,6075,598,3,Average experience,30-06-2022,0,15,18,0.647,0
317,7556,1094,1,Very disappointed with the quality,06-12-2022,0,79,34,0.869,0
318,6276,904,5,Works perfectly and looks great,04-06-2024,1,57,31,0.786,0
319,362,404,2,Not as described,03-05-2023,1,44,16,-0.891,0
320,1716,893,3,Average experience,10-02-2023,1,131,18,0.417,0
321,259,903,4,Amazing product and good value,20-01-2022,0,160,30,0.788,0
322,3867,167,2,Not as described,08-09-2024,0,156,16,0.876,0
323,6501,50,3,Decent product,07-05-2022,1,44,14,-0.653,0
324,5317,1136,2,Waste of money,27-06-2024,0,92,14,0.584,0
325,1582,215,5,"Great product, highly recommend",15-02-2023,0,140,31,-0.833,0
326,1663,93,2,"Terrible product, do not buy",25-07-2024,1,34,28,-0.679,0
327,7263,141,3,Average experience,21-11-2023,1,87,18,-0.048,0
328,2589,1171,4,Very satisfied with this purchase,22-04-2022,0,88,33,-0.845,0
329,7886,622,1,Waste of money,08-04-2024,1,92,14,0.374,0
330,6063,864,4,Works perfectly and looks great,18-04-2023,1,189,31,-0.716,0
331,2629,792,5,Very satisfied with this purchase,17-04-2022,1,53,33,0.28,0
332,1894,1186,2,Waste of money,07-01-2024,1,126,14,0.688,0
333,349,317,2,Very disappointed with the quality,04-01-2023,0,91,34,-0.57,0
334,7192,370,1,Stopped working after few days,03-09-2022,1,179,30,0.662,0
335,1535,132,5,Amazing product and good value,24-02-2023,0,83,30,0.778,0
336,998,310,2,Stopped working after few days,27-02-2023,1,184,30,-0.287,0
337,2726,1101,4,Excellent quality and fast delivery,01-06-2023,0,6,35,0.705,0
338,675,932,3,Nothing special but acceptable,13-02-2022,0,127,30,-0.734,0
339,2187,829,1,Stopped working after few days,20-02-2024,0,122,30,0.563,0
340,7435,138,5,Very satisfied with this purchase,22-01-2023,1,162,33,-0.897,0
341,1814,1108,1,Stopped working after few days,10-10-2022,1,37,30,0.029,0
342,2835,1190,1,Stopped working after few days,16-12-2023,0,27,30,-0.259,0
343,5167,1087,3,Product is okay,16-07-2023,0,47,15,-0.883,0
344,5412,52,5,Works perfectly and looks great,04-02-2024,0,6,31,-0.573,0
345,5280,281,2,Stopped working after few days,13-03-2022,1,67,30,0.919,0
346,7445,568,2,Very disappointed with the quality,07-11-2022,1,4,34,-0.803,0
347,5862,832,3,Decent product,24-06-2024,1,138,14,-0.287,0
348,300,825,1,Stopped working after few days,24-01-2022,0,1,30,0.478,0
349,6713,10,5,Works perfectly and looks great,03-05-2022,0,155,31,0.057,0
350,5640,1071,4,Excellent quality and fast delivery,05-08-2022,0,22,35,-0.014,0
351,5556,981,5,"Great product, highly recommend",03-02-2024,1,185,31,0.065,0
352,6565,997,5,Amazing product and good value,27-09-2022,1,194,30,0.586,0
353,3030,794,2,Very disappointed with the quality,05-01-2024,0,116,34,0.048,0
354,1836,8,5,Excellent quality and fast delivery,03-07-2022,1,6,35,0.51,0
355,1876,1082,3,Nothing special but acceptable,15-11-2023,1,138,30,0.767,0
356,5486,552,2,Waste of money,15-07-2022,1,2,14,0.076,0
357,2666,555,4,Amazing product and good value,20-06-2022,0,157,30,0.908,0
358,5279,957,2,"Terrible product, do not buy",18-02-2023,1,38,28,0.091,0
359,4084,152,3,Does the job,28-04-2023,0,156,12,-0.784,0
360,5250,149,5,Amazing product and good value,18-10-2023,1,89,30,0.825,0
361,7393,710,3,Product is okay,07-02-2023,1,112,15,0.419,0
362,1055,733,1,Very disappointed with the quality,31-01-2023,1,152,34,-0.215,0
363,6134,452,5,Very satisfied with this purchase,18-07-2022,0,55,33,-0.889,0
364,7230,824,2,Waste of money,07-05-2024,0,12,14,-0.641,0
365,6277,1082,1,Stopped working after few days,13-07-2024,0,39,30,-0.793,0
366,1521,1022,4,Very satisfied with this purchase,16-02-2022,1,102,33,0.028,0
367,61,286,1,Waste of money,23-12-2023,0,41,14,0.796,0
